weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
821,"{'top_left': 131, 'top_right': 100, 'bottom_left': 367, 'bottom_right': 223}","{'top_left': 0.13995726495726496, 'top_right': 0.10683760683760683, 'bottom_left': 0.3920940170940171, 'bottom_right': 0.23824786324786323}","(30.551766138855054, 32.64555420219245)","(0.43030656533598666, 0.6277991192729317)","(103.0229674456005, 337.879476174298)","(0.03667602970651495, 0.06517736808917786)"
418,"{'top_left': 41, 'top_right': 39, 'bottom_left': 169, 'bottom_right': 169}","{'top_left': 0.06602254428341385, 'top_right': 0.06280193236714976, 'bottom_left': 0.2721417069243156, 'bottom_right': 0.2721417069243156}","(22.25358851674641, 34.94736842105263)","(0.49452418926103137, 0.6593843098311817)","(71.29388063460085, 99.46200865364804)","(0.02444920460720194, 0.04700472998754633)"
498,"{'top_left': 77, 'top_right': 55, 'bottom_left': 192, 'bottom_right': 174}","{'top_left': 0.17420814479638008, 'top_right': 0.1244343891402715, 'bottom_left': 0.4343891402714932, 'bottom_right': 0.3936651583710407}","(13.823293172690763, 34.65863453815261)","(0.4188876718997201, 0.666512202656781)","(128.54210415961032, 74.01696746826664)","(0.04576080603759712, 0.06402851857116491)"
230,"{'top_left': 33, 'top_right': 62, 'bottom_left': 12, 'bottom_right': 123}","{'top_left': 0.09065934065934066, 'top_right': 0.17032967032967034, 'bottom_left': 0.03296703296703297, 'bottom_right': 0.33791208791208793}","(15.943478260869565, 30.77391304347826)","(0.590499194847021, 0.5918060200668896)","(135.3923629489603, 20.766370510396975)","(0.048199488411876226, 0.026487717487751243)"
573,"{'top_left': 88, 'top_right': 67, 'bottom_left': 194, 'bottom_right': 224}","{'top_left': 0.15384615384615385, 'top_right': 0.11713286713286714, 'bottom_left': 0.33916083916083917, 'bottom_right': 0.3916083916083916}","(21.61431064572426, 34.02792321116929)","(0.5026583871098665, 0.6543831386763325)","(119.73045938677362, 128.58946361728633)","(0.042623873046199225, 0.06642017748826773)"
642,"{'top_left': 80, 'top_right': 71, 'bottom_left': 167, 'bottom_right': 324}","{'top_left': 0.10610079575596817, 'top_right': 0.09416445623342175, 'bottom_left': 0.22148541114058357, 'bottom_right': 0.4297082228116711}","(30.10436137071651, 35.322429906542055)","(0.5281466907143247, 0.6792774982027319)","(120.98482400209627, 217.8847473335857)","(0.04307042506304602, 0.06476954439167232)"
195,"{'top_left': 50, 'top_right': 42, 'bottom_left': 63, 'bottom_right': 40}","{'top_left': 0.09615384615384616, 'top_right': 0.08076923076923077, 'bottom_left': 0.12115384615384615, 'bottom_right': 0.07692307692307693}","(18.70769230769231, 29.364102564102563)","(0.47968441814595664, 0.5646942800788954)","(135.48281393819857, 115.7658382642998)","(0.04823168883524335, 0.07235364891518738)"
194,"{'top_left': 0, 'top_right': 0, 'bottom_left': 101, 'bottom_right': 93}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.32371794871794873, 'bottom_right': 0.2980769230769231}","(11.139175257731958, 40.91237113402062)","(0.4843119677274764, 0.786776367961935)","(33.420156233393556, 25.099186948666173)","(0.01189752802897599, 0.043574977341434326)"
319,"{'top_left': 0, 'top_right': 0, 'bottom_left': 169, 'bottom_right': 150}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.34210526315789475, 'bottom_right': 0.30364372469635625}","(18.19435736677116, 40.15047021943574)","(0.49173938829111247, 0.7721244272968412)","(60.57923959080591, 95.46065781586266)","(0.021566123029834787, 0.06610848879214866)"
241,"{'top_left': 0, 'top_right': 0, 'bottom_left': 131, 'bottom_right': 110}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3598901098901099, 'bottom_right': 0.3021978021978022}","(13.28630705394191, 38.6597510373444)","(0.49208544644229296, 0.7434567507181615)","(43.76804807079768, 49.49064237874692)","(0.015581362787752824, 0.06312581936064658)"
209,"{'top_left': 0, 'top_right': 0, 'bottom_left': 129, 'bottom_right': 80}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3816568047337278, 'bottom_right': 0.23668639053254437}","(11.985645933014354, 42.196172248803826)","(0.47942583732057414, 0.8114648509385352)","(46.96151644879925, 38.58831070717246)","(0.016718232982840604, 0.05708329986268115)"
240,"{'top_left': 0, 'top_right': 0, 'bottom_left': 115, 'bottom_right': 125}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3159340659340659, 'bottom_right': 0.3434065934065934}","(13.6625, 42.40833333333333)","(0.5060185185185185, 0.8155448717948718)","(42.883263888888884, 49.69859375)","(0.015266380878920927, 0.06339106345663266)"
171,"{'top_left': 0, 'top_right': 0, 'bottom_left': 63, 'bottom_right': 108}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2202797202797203, 'bottom_right': 0.3776223776223776}","(12.24561403508772, 40.08771929824562)","(0.5831244778613199, 0.7709176788124157)","(45.56540473991997, 30.337334564481377)","(0.0162212192025347, 0.06268044331504417)"
292,"{'top_left': 0, 'top_right': 0, 'bottom_left': 144, 'bottom_right': 148}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3257918552036199, 'bottom_right': 0.334841628959276}","(16.517123287671232, 41.74315068493151)","(0.5005188875051889, 0.8027528977871443)","(45.32101473071871, 76.60587117658096)","(0.01613421670726903, 0.06626805465102159)"
207,"{'top_left': 0, 'top_right': 0, 'bottom_left': 92, 'bottom_right': 115}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.35384615384615387, 'bottom_right': 0.4423076923076923}","(10.497584541062801, 41.56038647342995)","(0.52487922705314, 0.7992382014121144)","(42.043454923102054, 16.047095614833484)","(0.014967410082983999, 0.036387971915722184)"
246,"{'top_left': 0, 'top_right': 0, 'bottom_left': 136, 'bottom_right': 110}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3269230769230769, 'bottom_right': 0.2644230769230769}","(15.178861788617887, 42.300813008130085)","(0.48964070285864153, 0.8134771732332708)","(29.974552184546237, 81.7810165906537)","(0.010670897894106884, 0.07986427401431026)"
286,"{'top_left': 0, 'top_right': 0, 'bottom_left': 137, 'bottom_right': 149}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.35128205128205126, 'bottom_right': 0.382051282051282}","(14.965034965034965, 36.93356643356643)","(0.4988344988344988, 0.7102608929532006)","(41.208873294537625, 52.57220401975647)","(0.014670300211654549, 0.05470572738788394)"
346,"{'top_left': 0, 'top_right': 0, 'bottom_left': 167, 'bottom_right': 179}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4282051282051282, 'bottom_right': 0.45897435897435895}","(15.0, 38.589595375722546)","(0.5, 0.7421076033792797)","(50.95873567442948, 50.5606936416185)","(0.018141237335147553, 0.052612584434566595)"
239,"{'top_left': 0, 'top_right': 0, 'bottom_left': 114, 'bottom_right': 125}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3986013986013986, 'bottom_right': 0.4370629370629371}","(10.97071129707113, 39.40167364016737)","(0.498668695321415, 0.7577244930801417)","(48.248700127798884, 27.36734300870083)","(0.017176468539622243, 0.05173410776692028)"
