weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
459,"{'top_left': 68, 'top_right': 50, 'bottom_left': 177, 'bottom_right': 164}","{'top_left': 0.17, 'top_right': 0.125, 'bottom_left': 0.4425, 'bottom_right': 0.41}","(13.161220043572985, 33.60130718954248)","(0.4112881263616558, 0.6720261437908497)","(115.52078260498098, 64.8323958971146)","(0.044413987929635135, 0.059533880529949124)"
217,"{'top_left': 30, 'top_right': 57, 'bottom_left': 11, 'bottom_right': 119}","{'top_left': 0.09230769230769231, 'top_right': 0.1753846153846154, 'bottom_left': 0.033846153846153845, 'bottom_right': 0.36615384615384616}","(15.050691244239632, 29.95852534562212)","(0.6020276497695852, 0.5991705069124424)","(121.25634436917326, 19.531992609739003)","(0.04661912509387669, 0.028893480191921603)"
538,"{'top_left': 77, 'top_right': 61, 'bottom_left': 190, 'bottom_right': 210}","{'top_left': 0.14666666666666667, 'top_right': 0.11619047619047619, 'bottom_left': 0.3619047619047619, 'bottom_right': 0.4}","(20.150557620817843, 32.99628252788104)","(0.4914770151418986, 0.6599256505576209)","(107.639391384862, 120.1836521054159)","(0.04138384905223452, 0.06813132205522443)"
599,"{'top_left': 72, 'top_right': 64, 'bottom_left': 156, 'bottom_right': 307}","{'top_left': 0.10285714285714286, 'top_right': 0.09142857142857143, 'bottom_left': 0.22285714285714286, 'bottom_right': 0.43857142857142856}","(29.40567612687813, 34.17529215358932)","(0.5346486568523297, 0.6835058430717864)","(108.41167666756782, 207.1259110203149)","(0.04168076765381308, 0.06604780325902898)"
169,"{'top_left': 36, 'top_right': 35, 'bottom_left': 58, 'bottom_right': 40}","{'top_left': 0.07578947368421053, 'top_right': 0.07368421052631578, 'bottom_left': 0.12210526315789473, 'bottom_right': 0.08421052631578947}","(18.301775147928993, 29.437869822485208)","(0.49464257156564845, 0.5887573964497042)","(122.3881516753615, 109.08644655299184)","(0.04705426823351076, 0.07554463057686416)"
184,"{'top_left': 0, 'top_right': 0, 'bottom_left': 93, 'bottom_right': 91}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3381818181818182, 'bottom_right': 0.33090909090909093}","(10.440217391304348, 39.64673913043478)","(0.47455533596837945, 0.7929347826086957)","(29.978467627599244, 23.083382561436675)","(0.011525746877200786, 0.043635883859048534)"
311,"{'top_left': 0, 'top_right': 0, 'bottom_left': 150, 'bottom_right': 161}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3333333333333333, 'bottom_right': 0.35777777777777775}","(17.977491961414792, 38.71061093247589)","(0.4993747767059664, 0.7742122186495177)","(54.282813453128064, 89.28245158755595)","(0.020869978259564808, 0.06521727654313803)"
215,"{'top_left': 0, 'top_right': 0, 'bottom_left': 113, 'bottom_right': 102}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3476923076923077, 'bottom_right': 0.31384615384615383}","(12.902325581395349, 37.181395348837206)","(0.4962432915921288, 0.7436279069767441)","(39.19965386695512, 45.520692266089775)","(0.015070993412900852, 0.062442650570767866)"
189,"{'top_left': 0, 'top_right': 0, 'bottom_left': 113, 'bottom_right': 76}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.37666666666666665, 'bottom_right': 0.25333333333333335}","(11.486772486772487, 40.492063492063494)","(0.47861552028218696, 0.8098412698412699)","(42.86369362559839, 33.64665042971921)","(0.016479697664589923, 0.053834640687550735)"
217,"{'top_left': 0, 'top_right': 0, 'bottom_left': 98, 'bottom_right': 119}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.30153846153846153, 'bottom_right': 0.36615384615384616}","(13.400921658986174, 40.77880184331797)","(0.5154200638071605, 0.8155760368663594)","(39.490241882392915, 47.18027564824056)","(0.015182715064357137, 0.06471917098524083)"
167,"{'top_left': 0, 'top_right': 0, 'bottom_left': 60, 'bottom_right': 107}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.21818181818181817, 'bottom_right': 0.3890909090909091}","(12.251497005988025, 38.58083832335329)","(0.5834046193327631, 0.7716167664670658)","(41.74047115350138, 29.122377998494027)","(0.016047855114764083, 0.06017020247622733)"
270,"{'top_left': 0, 'top_right': 0, 'bottom_left': 134, 'bottom_right': 136}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.335, 'bottom_right': 0.34}","(15.91851851851852, 39.870370370370374)","(0.49745370370370373, 0.7974074074074075)","(41.66838134430727, 73.60076817558299)","(0.01602013892514697, 0.06758564570760604)"
